EVENT_DATE,LATITUDE,LONGITUDE
2020-05-31,44.1,-70.215
2020-05-31,44.098,-70.231
2020-05-31,42.263,-71.802
2020-05-31,42.361,-71.362
2020-05-31,42.196,-70.726
2020-05-31,40.606,-74.135
2020-05-31,41.767,-72.676
2020-05-31,42.055,-72.77
2020-05-31,43.31,-73.644
2020-05-31,41.284,-73.498
2020-05-31,42.699,-73.114
2020-05-31,42.45,-73.245
2020-05-31,41.636,-70.934
2020-05-31,39.267,-81.562
2020-05-31,36.158,-81.147
2020-05-31,39.485,-80.143
2020-05-31,40.064,-80.721
2020-05-31,33.019,-80.176
2020-05-31,38.641,-75.611
2020-05-31,34.226,-77.945
2020-05-31,36.847,-76.285
2020-05-31,40.427,-78.389
2020-05-31,40.155,-74.829
2020-05-31,40.793,-77.86
2020-05-31,40.637,-80.24
2020-05-31,36.1,-80.244
2020-05-31,39.928,-75.274
2020-05-31,40.174,-80.246
2020-05-31,41.246,-75.881
2020-05-31,35.783,-80.887
2020-05-31,38.763,-93.736
2020-05-31,36.154,-95.993
2020-05-31,39.329,-82.101
2020-05-31,38.974,-92.743
2020-05-31,38.897,-121.077
2020-05-31,39.729,-104.832
2020-05-31,45.783,-108.501
2020-05-31,47.567,-122.633
2020-05-31,39.938,-77.661
2020-05-31,40.484,-88.994
2020-05-31,34.142,-118.15
2020-05-31,29.211,-81.023
2020-05-31,33.938,-117.231
2020-05-31,30.438,-84.28
2020-05-31,41.661,-91.53
2020-05-31,36.866,-87.491
2020-05-31,40.101,-75.383
2020-05-31,40.038,-76.305
2020-05-31,40.038,-76.305
2020-05-31,33.449,-112.074
2020-05-31,43.367,-124.218
2020-05-31,41.257,-95.934
2020-05-31,41.535,-87.424
2020-05-31,41.575,-87.239
2020-05-31,38.991,-77.026
2020-05-31,33.039,-85.031
2020-05-31,33.531,-117.769
2020-05-31,43.154,-93.202
2020-05-31,41.708,-86.895
2020-05-31,43.455,-76.507
2020-05-31,40.686,-76.196
2020-05-31,43.217,-123.342
2020-05-31,42.611,-71.234
2020-05-31,38.354,-121.973
2020-05-31,36.296,-80.143
2020-05-31,32.905,-80.667
2020-05-31,36.146,-81.161
2020-05-31,45.122,-95.043
2020-05-31,45.373,-84.955
2020-05-31,35.781,-78.639
2020-05-31,33.494,-111.926
2020-05-31,30.508,-97.674
2020-05-31,35.292,-81.536
2020-05-31,32.432,-80.67
2020-06-01,37.765,-122.242
2020-06-01,33.837,-117.914
2020-06-01,30.447,-91.189
2020-06-01,38.063,-122.156
2020-06-01,32.777,-79.931
2020-06-01,34.096,-117.72
2020-06-01,34.0,-81.033
2020-06-01,38.249,-122.041
